Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value
3,47,92.0,0,68505.0,1951707.0,617915.0,1333792.0,10669000.0
1,18,90.0,0,23492.0,1191044.0,287072.0,903972.0,7316000.0
4,26,6.0,0,24122.0,523206.0,98900.0,424306.0,3145001.0
1,133,98.0,0,161276.0,3619033.0,1557926.0,2061107.0,15656993.0
3,98,6.0,0,107939.0,4590646.0,1285553.0,3305092.0,26925000.0
3,8,13.0,1,11504.0,239916.0,91665.0,148251.0,1091002.0
1,60,35.0,0,59228.0,2655191.0,658023.0,1997168.0,15981009.0
4,20,51.0,1,18010.0,289961.0,137056.0,152905.0,1055000.0
1,34,27.0,0,28692.0,1027174.0,324220.0,702954.0,5351998.0
1,36,109.0,0,35516.0,1465390.0,397779.0,1067611.0,8697000.0
1,41,29.0,0,56483.0,2012795.0,631097.0,1381698.0,10535001.0
2,15,14.0,1,12624.0,250839.0,77259.0,173580.0,1263999.0
4,18,11.0,0,18730.0,456581.0,180625.0,275956.0,2086998.0
3,1,113.0,1,4645.0,168706.0,59038.0,109668.0,886000.0
4,64,7.0,0,53000.0,1080140.0,285670.0,794470.0,5947995.0
3,22,8.0,0,21480.0,503062.0,94727.0,408335.0,3230003.0
4,33,8.0,0,37111.0,902168.0,260148.0,642020.0,5109010.0
1,42,15.0,0,37492.0,1336590.0,601372.0,735218.0,5993000.0
1,15,102.0,1,23765.0,424443.0,157044.0,267399.0,1637000.0
1,9,115.0,0,35700.0,1358742.0,327369.0,1031373.0,8215999.0
3,83,79.0,0,61980.0,769792.0,446256.0,323536.0,2163000.0
1,14,14.0,0,23052.0,997921.0,249884.0,748037.0,6020998.0
3,10,14.0,0,18585.0,367425.0,171725.0,195700.0,1518000.0
3,18,13.0,0,23938.0,534057.0,231480.0,302577.0,2362996.0
1,28,8.0,0,38351.0,589838.0,247364.0,342474.0,2406001.0
4,34,12.0,0,38616.0,1167748.0,491582.0,676166.0,5490997.0
3,16,27.0,1,9903.0,164596.0,74756.0,89840.0,626001.0
3,25,7.0,0,41862.0,503265.0,148487.0,354778.0,2222999.0
1,104,100.0,0,143389.0,3488654.0,1462568.0,2026087.0,16043000.0
3,48,4.0,0,83319.0,2008821.0,588232.0,1420589.0,11290000.0
1,5,58.0,0,6635.0,176955.0,65952.0,111003.0,845000.0
4,8,32.0,1,6620.0,137166.0,51636.0,85530.0,668000.0
3,16,28.0,1,10556.0,197608.0,84131.0,113477.0,862004.0
3,4,15.0,0,8445.0,204960.0,71107.0,133853.0,1077000.0
3,36,20.0,0,45801.0,849609.0,332515.0,517094.0,3918011.0
4,24,92.0,1,12870.0,276448.0,139897.0,136551.0,1065000.0
1,8,94.0,1,8700.0,360922.0,91284.0,269638.0,2056001.0
4,18,19.0,1,16915.0,472098.0,207716.0,264381.0,2134000.0
4,15,12.0,1,12234.0,195242.0,56450.0,138792.0,957002.0
1,14,112.0,0,24987.0,317585.0,161916.0,155669.0,988003.0
3,36,13.0,1,58244.0,1493376.0,544581.0,948795.0,7591998.0
4,78,77.0,0,85000.0,1254600.0,486200.0,768400.0,5173010.0
1,10,113.0,0,19533.0,465667.0,200409.0,265258.0,1998001.0
2,167,4.0,0,175053.0,3546574.0,1417929.0,2128644.0,16578000.0
3,12,15.0,0,9949.0,288422.0,86556.0,201865.0,1634000.0
1,93,87.0,0,94649.0,4333031.0,1121591.0,3211440.0,24452997.0
2,12,6.0,0,14664.0,240490.0,127870.0,112620.0,780999.0
1,17,28.0,0,22626.0,569044.0,195941.0,373103.0,2881000.0
2,128,79.0,0,109764.0,1278751.0,670658.0,608093.0,3731976.0
