Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Borough 1,Total Units 1,Age 1,Has Elevator 1,Gross SqFt 1,Estimated Gross Income 1,Estimated Expense 1,Net Operating Income 1,Full Market Value 1,Borough 2,Total Units 2,Age 2,Has Elevator 2,Gross SqFt 2,Estimated Gross Income 2,Estimated Expense 2,Net Operating Income 2,Full Market Value 2,Borough 3,Total Units 3,Age 3,Has Elevator 3,Gross SqFt 3,Estimated Gross Income 3,Estimated Expense 3,Net Operating Income 3,Full Market Value 3
3,18,92.0,1,13352.0,313772.0,112691.0,201081.0,1510000.0,3,16,93.0,0,12816.0,303611.0,117266.0,186345.0,661000.0,3,16,93.0,0,11844.0,278334.0,90488.0,187846.0,1733000.0,3,16,93.0,0,12160.0,285760.0,102630.0,183130.0,1330000.0
4,79,3.0,0,62429.0,2612029.0,953915.0,1658114.0,13268009.0,4,78,91.0,1,67652.0,2826501.0,1032370.0,1794131.0,4875000.0,4,89,53.0,1,74007.0,3148998.0,1204834.0,1944164.0,4425000.0,4,84,43.0,1,67292.0,2815497.0,1028222.0,1787275.0,8136000.0
4,12,34.0,1,13338.0,280498.0,101902.0,178596.0,1379000.0,4,17,47.0,0,7842.0,166329.0,62422.0,103907.0,1093000.0,4,15,46.0,0,13000.0,273260.0,103870.0,169390.0,1200000.0,4,12,47.0,0,8656.0,182036.0,66132.0,115904.0,829000.0
4,26,14.0,0,25499.0,652264.0,215722.0,436542.0,3486003.0,4,17,10.0,1,14896.0,377465.0,121551.0,255914.0,2470000.0,4,106,55.0,1,99883.0,2555007.0,845010.0,1709997.0,7722000.0,4,90,60.0,1,82788.0,2132619.0,683829.0,1448790.0,7169000.0
3,12,15.0,0,17800.0,504630.0,143290.0,361340.0,2890000.0,3,17,107.0,1,29109.0,825240.0,234327.0,590913.0,3591000.0,3,35,87.0,1,37500.0,1026750.0,322125.0,704625.0,5444000.0,3,32,10.0,1,25085.0,725458.0,243575.0,481883.0,3569000.0
3,16,10.0,0,12953.0,389108.0,145333.0,243775.0,1950999.0,3,27,89.0,0,20024.0,616339.0,208250.0,408089.0,1244000.0,3,23,91.0,0,18000.0,513360.0,177480.0,335880.0,926000.0,3,16,92.0,0,14000.0,420560.0,157080.0,263480.0,1032000.0
1,24,90.0,0,17842.0,714037.0,213212.0,500825.0,4028000.0,1,23,118.0,0,6736.0,237309.0,74500.0,162809.0,1076000.0,1,20,118.0,0,10816.0,432856.0,129251.0,303605.0,2708000.0,1,55,118.0,0,28623.0,1173257.0,368378.0,804879.0,7655000.0
1,93,104.0,0,66688.0,3046308.0,928297.0,2118011.0,17080000.0,1,71,90.0,1,58325.0,2664286.0,811884.0,1852402.0,17443000.0,1,90,71.0,1,70992.0,3298288.0,1194795.0,2103493.0,15689000.0,1,24,81.0,1,18654.0,847451.0,308351.0,539101.0,3586000.0
4,58,81.0,0,38582.0,637375.0,216445.0,420930.0,2924003.0,4,56,84.0,1,51545.0,853070.0,287106.0,565964.0,3971000.0,4,54,73.0,1,45800.0,756616.0,256938.0,499678.0,3757000.0,4,61,74.0,1,52182.0,859959.0,292219.0,567740.0,4366000.0
3,11,8.0,0,7038.0,220219.0,65665.0,154554.0,1255000.0,3,16,109.0,0,8800.0,274912.0,83952.0,190960.0,773000.0,3,36,104.0,0,20821.0,651489.0,194260.0,457229.0,5883000.0,3,20,109.0,0,12255.0,389341.0,108212.0,281129.0,1922000.0
